,ActivityIdentifier,Calcium,Magnesium,Potassium,Sodium,"Sodium, percent total cations",ProjectIdentifier,ActivityStartDate,ActivityStartTime/Time_PST,LongitudeMeasure,LatitudeMeasure
1161,nwisca.01.01706466,60.1,40.1,1.46,29.1,17000.0,National Water Quality Assessment Program (NAWQA),2017-03-20,16:30:00,-121.9330129,37.3738296
1162,nwisca.01.01706467,23.3,16.2,1.51,11.0,16000.0,National Water Quality Assessment Program (NAWQA),2017-03-21,15:00:00,-121.88225,37.3039472
1163,nwisca.01.01706468,24.4,9.2,1.18,8.27,15000.0,National Water Quality Assessment Program (NAWQA),2017-03-22,10:30:00,-121.933,37.2939
1164,nwisca.01.01706469,43.3,12.5,1.34,13.8,16000.0,National Water Quality Assessment Program (NAWQA),2017-03-22,13:30:00,-122.0162889,37.27225
1165,nwisca.01.01706470,92.0,74.3,2.69,67.6,21000.0,National Water Quality Assessment Program (NAWQA),2017-03-23,10:10:00,-122.1365917,37.4168
1166,nwisca.01.01706471,64.4,22.4,2.47,31.1,21000.0,National Water Quality Assessment Program (NAWQA),2017-03-23,13:20:00,-122.1894095,37.42327257
1167,nwisca.01.01706665,89.7,45.8,2.46,126.0,40000.0,National Water Quality Assessment Program (NAWQA),2017-04-03,14:00:00,-121.8830126,37.62659915
1168,nwisca.01.01706666,43.0,23.8,1.3,17.7,16000.0,National Water Quality Assessment Program (NAWQA),2017-04-03,18:50:00,-121.9330129,37.3738296
1169,nwisca.01.01706667,28.6,13.4,1.84,15.9,21000.0,National Water Quality Assessment Program (NAWQA),2017-04-04,11:40:00,-121.7946583,37.26493889
1170,nwisca.01.01706668,36.4,30.2,1.11,19.2,16000.0,National Water Quality Assessment Program (NAWQA),2017-04-04,16:00:00,-121.88225,37.3039472
1171,nwisca.01.01706669,32.0,13.1,1.26,10.5,14000.0,National Water Quality Assessment Program (NAWQA),2017-04-05,11:30:00,-121.933,37.2939
1172,nwisca.01.01706670,54.6,15.8,1.33,16.8,15000.0,National Water Quality Assessment Program (NAWQA),2017-04-05,14:40:00,-122.0162889,37.27225
1173,nwisca.01.01706671,117.0,105.0,2.84,103.0,24000.0,National Water Quality Assessment Program (NAWQA),2017-04-06,12:00:00,-122.1365917,37.4168
1174,nwisca.01.01706672,76.7,30.2,2.25,38.9,21000.0,National Water Quality Assessment Program (NAWQA),2017-04-06,15:20:00,-122.1894095,37.42327257
1175,nwisca.01.01706710,66.2,34.7,2.18,110.0,43000.0,National Water Quality Assessment Program (NAWQA),2017-04-17,12:00:00,-121.8830126,37.62659915
1176,nwisca.01.01706712,29.3,14.3,1.82,17.2,22000.0,National Water Quality Assessment Program (NAWQA),2017-04-18,10:30:00,-121.7946583,37.26493889
1177,nwisca.01.01706713,34.7,26.9,1.22,18.1,17000.0,National Water Quality Assessment Program (NAWQA),2017-04-18,14:40:00,-121.88225,37.3039472
1178,nwisca.01.01706714,33.1,13.6,1.24,11.6,15000.0,National Water Quality Assessment Program (NAWQA),2017-04-19,10:30:00,-121.933,37.2939
1179,nwisca.01.01706715,47.3,14.2,1.17,15.9,16000.0,National Water Quality Assessment Program (NAWQA),2017-04-19,14:10:00,-122.0162889,37.27225
