,ActivityIdentifier,Enterococcus,Fecal Coliform,Total Coliform
289,11NPSWRD_WQX-PRSF_WQ_LOB3_20110922_L,,,20000.0
290,11NPSWRD_WQX-PRSF_WQ_LOB3_20111019_L,,,9100.0
291,11NPSWRD_WQX-PRSF_WQ_LOB3_20111215_L,,,17000.0
292,11NPSWRD_WQX-PRSF_WQ_LOB3_20120119_L,,,9200.0
293,11NPSWRD_WQX-PRSF_WQ_LOB3_20120216_L,,,6100.0
294,11NPSWRD_WQX-PRSF_WQ_LOB3_20120321_L,,,7300.0
295,11NPSWRD_WQX-PRSF_WQ_LOB3_20120531_L,,,17000.0
296,11NPSWRD_WQX-PRSF_WQ_LOB3_20120626_L,,,16000.0
297,11NPSWRD_WQX-PRSF_WQ_LOB3_20120719_L,,,24000.0
298,11NPSWRD_WQX-PRSF_WQ_LOB3_20120822_L,,,24000.0
299,11NPSWRD_WQX-PRSF_WQ_LOB3_20120920_L,,,24000.0
300,11NPSWRD_WQX-PRSF_WQ_LOB3_20121023_L,,,20000.0
301,11NPSWRD_WQX-PRSF_WQ_LOB3_20130129_L,,,12000.0
302,11NPSWRD_WQX-PRSF_WQ_LOB3_20130225_L,,,11000.0
303,11NPSWRD_WQX-PRSF_WQ_LOB3_20130320_L,,,8200.0
304,11NPSWRD_WQX-PRSF_WQ_LOB3_20130417_L,,,20000.0
305,11NPSWRD_WQX-PRSF_WQ_LOB3_20130717_L,,,24000.0
306,11NPSWRD_WQX-PRSF_WQ_LOB3_20131022_L,,,16000.0
307,11NPSWRD_WQX-PRSF_WQ_LOB3_20131217_L,,,17000.0
308,11NPSWRD_WQX-PRSF_WQ_LOB3_20140121_L,,,20000.0
309,11NPSWRD_WQX-PRSF_WQ_LOB3_20140728_L,,,20000.0
310,11NPSWRD_WQX-PRSF_WQ_LOB3_20141124_L,,,24000.0
311,11NPSWRD_WQX-PRSF_WQ_LOB3_20141202_L,,,24000.0
312,11NPSWRD_WQX-PRSF_WQ_LOB3_20150122_L,,,24000.0
313,11NPSWRD_WQX-PRSF_WQ_LOB3_20150219_L,,,20000.0
314,11NPSWRD_WQX-PRSF_WQ_LOB3_20150318_L,,,17000.0
315,11NPSWRD_WQX-PRSF_WQ_LOB3_20150415_L,,,20000.0
316,11NPSWRD_WQX-PRSF_WQ_LOB3_20150519_L,,,17000.0
317,11NPSWRD_WQX-PRSF_WQ_LOB3_20150915_L,,,20000.0
318,11NPSWRD_WQX-PRSF_WQ_LOB3_20151021_L,,,24000.0
319,11NPSWRD_WQX-PRSF_WQ_LOB3_20151118_L,,,12000.0
320,11NPSWRD_WQX-PRSF_WQ_LOB3_20160322_L,,,17000.0
321,11NPSWRD_WQX-PRSF_WQ_LOB3_20160517_L,,,24000.0
322,11NPSWRD_WQX-PRSF_WQ_LOB3_20160921_L,,,24000.0
323,11NPSWRD_WQX-PRSF_WQ_LOB3_20161025_L,,,24000.0
324,11NPSWRD_WQX-PRSF_WQ_LOB3_20161116_L,,,24000.0
325,11NPSWRD_WQX-PRSF_WQ_LOB3_20170222_L,,,24000.0
326,11NPSWRD_WQX-PRSF_WQ_LOB3_20170321_L,,,20000.0
327,11NPSWRD_WQX-PRSF_WQ_LOB3_20170524_L,,,24000.0
328,11NPSWRD_WQX-PRSF_WQ_LOB3_20170720_L,,,20000.0
329,11NPSWRD_WQX-PRSF_WQ_LOB3_20170927_L,,,24000.0
330,11NPSWRD_WQX-PRSF_WQ_LOB3_20171030_L,,,24000.0
331,11NPSWRD_WQX-PRSF_WQ_LOB3_20171129_L,,,20000.0
332,11NPSWRD_WQX-PRSF_WQ_LOB3_20171219_L,,,13000.0
333,11NPSWRD_WQX-PRSF_WQ_LOB3_20180425_L,,,20000.0
334,11NPSWRD_WQX-PRSF_WQ_LOB3_20180523_L,,,24000.0
335,11NPSWRD_WQX-PRSF_WQ_LOB4_20100217_L,,,17000.0
336,11NPSWRD_WQX-PRSF_WQ_LOB4_20100316_L,,,24000.0
337,11NPSWRD_WQX-PRSF_WQ_LOB4_20100421_L,,,24000.0
338,11NPSWRD_WQX-PRSF_WQ_LOB4_20101020_L,,,24000.0
339,11NPSWRD_WQX-PRSF_WQ_LOB4_20110124_L,,,13000.0
340,11NPSWRD_WQX-PRSF_WQ_LOB4_20110216_L,,,8700.0
341,11NPSWRD_WQX-PRSF_WQ_LOB4_20110316_L,,,14000.0
