,ActivityIdentifier,"Acidity, (H+)",Ammonia and ammonium,Arsenic,Barium,Barometric pressure,Bed sediment particle size,Bedload sediment flux,Bedload sediment particle size,Boron,Calcium,Carbon dioxide,Chloride,Depth,Fluoride,"Hardness, Ca, Mg","Height, gage",Magnesium,Nitrate,Nitrite,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Number of sampling points,Organic carbon,Orthophosphate,Oxygen,Phosphorus,Potassium,Refractive Index (RI),Silica,Sodium,Specific conductance,"Stream flow, instantaneous",Stream width measure,Sulfate,Suspended Sediment Concentration (SSC),Suspended Sediment Discharge,"Temperature, air","Temperature, water",Total volatile solids,Turbidity,pH
139,11NPSWRD_WQX-PRSF_WQ_DF1_20121119_L^01,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,
140,11NPSWRD_WQX-PRSF_WQ_DF1_20121218_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,
141,11NPSWRD_WQX-PRSF_WQ_DF1_20121218_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.0,,,,,,,11.58,,,7.49
142,11NPSWRD_WQX-PRSF_WQ_DF1_20121218_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,
143,11NPSWRD_WQX-PRSF_WQ_DF1_20121218_L^01,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,
144,11NPSWRD_WQX-PRSF_WQ_DF1_20130122_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,
145,11NPSWRD_WQX-PRSF_WQ_DF1_20130122_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.0,,,,,,,11.99,,,7.94
146,11NPSWRD_WQX-PRSF_WQ_DF1_20130122_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,
147,11NPSWRD_WQX-PRSF_WQ_DF1_20130122_L,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,
148,11NPSWRD_WQX-PRSF_WQ_DF1_20130220_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,
149,11NPSWRD_WQX-PRSF_WQ_DF1_20130220_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.4,,,,,,,11.1,,,7.85
150,11NPSWRD_WQX-PRSF_WQ_DF1_20130220_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49,
151,11NPSWRD_WQX-PRSF_WQ_DF1_20130220_L^01,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,
152,11NPSWRD_WQX-PRSF_WQ_DF1_20130319_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
153,11NPSWRD_WQX-PRSF_WQ_DF1_20130319_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.5,,,,,,,12.9,,,7.81
154,11NPSWRD_WQX-PRSF_WQ_DF1_20130319_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,
155,11NPSWRD_WQX-PRSF_WQ_DF1_20130319_L^01,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,
156,11NPSWRD_WQX-PRSF_WQ_DF1_20130416_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,
157,11NPSWRD_WQX-PRSF_WQ_DF1_20130416_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.2,,,,,,,12.4,,,7.82
158,11NPSWRD_WQX-PRSF_WQ_DF1_20130416_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91,
159,11NPSWRD_WQX-PRSF_WQ_DF1_20130416_L^01,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,
160,11NPSWRD_WQX-PRSF_WQ_DF1_20130521_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
161,11NPSWRD_WQX-PRSF_WQ_DF1_20130521_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.2,,,,,,,14.2,,,7.65
162,11NPSWRD_WQX-PRSF_WQ_DF1_20130521_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,
163,11NPSWRD_WQX-PRSF_WQ_DF1_20130521_L^01,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
164,11NPSWRD_WQX-PRSF_WQ_DF1_20130627_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,
165,11NPSWRD_WQX-PRSF_WQ_DF1_20130627_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.3,,,,,,,15.5,,,7.7
166,11NPSWRD_WQX-PRSF_WQ_DF1_20130627_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.76,
167,11NPSWRD_WQX-PRSF_WQ_DF1_20130627_L^01,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,
168,11NPSWRD_WQX-PRSF_WQ_DF1_20130717_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,
169,11NPSWRD_WQX-PRSF_WQ_DF1_20130717_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.7,,,,,,,15.3,,,8.23
170,11NPSWRD_WQX-PRSF_WQ_DF1_20130717_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,
171,11NPSWRD_WQX-PRSF_WQ_DF1_20130717_L^01,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
172,11NPSWRD_WQX-PRSF_WQ_DF1_20130821_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,
173,11NPSWRD_WQX-PRSF_WQ_DF1_20130821_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,,6.9
174,11NPSWRD_WQX-PRSF_WQ_DF1_20130821_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,
175,11NPSWRD_WQX-PRSF_WQ_DF1_20130821_L^01,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,
176,11NPSWRD_WQX-PRSF_WQ_DF1_20130924_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,
177,11NPSWRD_WQX-PRSF_WQ_DF1_20130924_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.3,,,,,,,15.6,,,7.12
178,11NPSWRD_WQX-PRSF_WQ_DF1_20130924_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,
179,11NPSWRD_WQX-PRSF_WQ_DF1_20130924_L^01,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,
180,11NPSWRD_WQX-PRSF_WQ_DF1_20131022_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,
181,11NPSWRD_WQX-PRSF_WQ_DF1_20131022_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.0,,,,,,,14.3,,,6.87
182,11NPSWRD_WQX-PRSF_WQ_DF1_20131022_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,
183,11NPSWRD_WQX-PRSF_WQ_DF1_20131022_L^01,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,
184,11NPSWRD_WQX-PRSF_WQ_DF1_20131120_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,,,
185,11NPSWRD_WQX-PRSF_WQ_DF1_20131120_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.0,,,,,,,15.1,,,7.22
186,11NPSWRD_WQX-PRSF_WQ_DF1_20131120_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.57,
187,11NPSWRD_WQX-PRSF_WQ_DF1_20131120_L^01,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,
188,11NPSWRD_WQX-PRSF_WQ_DF1_20131217_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,
189,11NPSWRD_WQX-PRSF_WQ_DF1_20131217_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.2,,,,,,,12.6,,,7.02
190,11NPSWRD_WQX-PRSF_WQ_DF1_20131217_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,
191,11NPSWRD_WQX-PRSF_WQ_DF1_20131217_L^01,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,
192,11NPSWRD_WQX-PRSF_WQ_DF1_20140122_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,
193,11NPSWRD_WQX-PRSF_WQ_DF1_20140122_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.3,,,,,,,11.2,,,6.46
194,11NPSWRD_WQX-PRSF_WQ_DF1_20140122_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,
195,11NPSWRD_WQX-PRSF_WQ_DF1_20140122_L^01,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,
196,11NPSWRD_WQX-PRSF_WQ_DF1_20140225_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,
197,11NPSWRD_WQX-PRSF_WQ_DF1_20140225_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.7,,,,,,,14.0,,,7.42
198,11NPSWRD_WQX-PRSF_WQ_DF1_20140225_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.86,
199,11NPSWRD_WQX-PRSF_WQ_DF1_20140225_L^01,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,
200,11NPSWRD_WQX-PRSF_WQ_DF1_20140325_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,
201,11NPSWRD_WQX-PRSF_WQ_DF1_20140325_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.3,,,,,,,13.9,,,7.23
202,11NPSWRD_WQX-PRSF_WQ_DF1_20140325_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
203,11NPSWRD_WQX-PRSF_WQ_DF1_20140325_L^01,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,
204,11NPSWRD_WQX-PRSF_WQ_DF1_20140331_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,
205,11NPSWRD_WQX-PRSF_WQ_DF1_20140331_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.5,,,,,,,12.6,,,7.49
206,11NPSWRD_WQX-PRSF_WQ_DF1_20140331_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,
207,11NPSWRD_WQX-PRSF_WQ_DF1_20140331_L^01,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,
208,11NPSWRD_WQX-PRSF_WQ_DF1_20140422_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
209,11NPSWRD_WQX-PRSF_WQ_DF1_20140422_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.8,,,,,,,13.7,,,7.34
210,11NPSWRD_WQX-PRSF_WQ_DF1_20140422_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,
211,11NPSWRD_WQX-PRSF_WQ_DF1_20140422_L^01,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,
212,11NPSWRD_WQX-PRSF_WQ_DF1_20140527_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
213,11NPSWRD_WQX-PRSF_WQ_DF1_20140527_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.8,,,,,,,15.1,,,7.52
214,11NPSWRD_WQX-PRSF_WQ_DF1_20140527_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73,
215,11NPSWRD_WQX-PRSF_WQ_DF1_20140527_L^01,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,
216,11NPSWRD_WQX-PRSF_WQ_DF1_20140624_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,
217,11NPSWRD_WQX-PRSF_WQ_DF1_20140624_F/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.5,,,,,,,15.4,,,7.68
218,11NPSWRD_WQX-PRSF_WQ_DF1_20140624_F/1^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.73,
219,11NPSWRD_WQX-PRSF_WQ_DF1_20140624_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.4,,,,,,,15.4,,,7.68
220,11NPSWRD_WQX-PRSF_WQ_DF1_20140624_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,
221,11NPSWRD_WQX-PRSF_WQ_DF1_20140624_L/1^01,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,
222,11NPSWRD_WQX-PRSF_WQ_DF1_20140624_L^01,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,
223,11NPSWRD_WQX-PRSF_WQ_DF1_20140728_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,
224,11NPSWRD_WQX-PRSF_WQ_DF1_20140728_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.9,,,,,,,16.0,,,6.98
225,11NPSWRD_WQX-PRSF_WQ_DF1_20140728_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,
226,11NPSWRD_WQX-PRSF_WQ_DF1_20140728_L^01,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,
227,11NPSWRD_WQX-PRSF_WQ_DF1_20140827_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,
228,11NPSWRD_WQX-PRSF_WQ_DF1_20140827_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.0,,,,,,,17.9,,,7.62
229,11NPSWRD_WQX-PRSF_WQ_DF1_20140827_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,
230,11NPSWRD_WQX-PRSF_WQ_DF1_20140827_L^01,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,
231,11NPSWRD_WQX-PRSF_WQ_DF1_20140923_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,
232,11NPSWRD_WQX-PRSF_WQ_DF1_20140923_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.0,,,,,,,17.2,,,7.29
233,11NPSWRD_WQX-PRSF_WQ_DF1_20140923_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.1,
234,11NPSWRD_WQX-PRSF_WQ_DF1_20140923_L^01,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,
235,11NPSWRD_WQX-PRSF_WQ_DF1_20141124_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,
236,11NPSWRD_WQX-PRSF_WQ_DF1_20141124_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.0,,,,,,,12.3,,,6.76
237,11NPSWRD_WQX-PRSF_WQ_DF1_20141124_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6,
238,11NPSWRD_WQX-PRSF_WQ_DF1_20141124_L^01,,,,,,,,,,,,,,,,,,0.65,,,,,,,0.26,,,,,,,,,,,,,,,
239,11NPSWRD_WQX-PRSF_WQ_DF1_20141202_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,
240,11NPSWRD_WQX-PRSF_WQ_DF1_20141202_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.6,,,,,,,13.8,,,8.39
241,11NPSWRD_WQX-PRSF_WQ_DF1_20141202_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,
242,11NPSWRD_WQX-PRSF_WQ_DF1_20141202_L^01,,,,,,,,,,,,,,,,,,0.41,,,,,,,0.15,,,,,,,,,,,,,,,
243,11NPSWRD_WQX-PRSF_WQ_DF1_20150121_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,
244,11NPSWRD_WQX-PRSF_WQ_DF1_20150121_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.2,,,,,,,13.0,,,6.67
245,11NPSWRD_WQX-PRSF_WQ_DF1_20150121_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22,
246,11NPSWRD_WQX-PRSF_WQ_DF1_20150121_L^01,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,
247,11NPSWRD_WQX-PRSF_WQ_DF1_20150218_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,,,
248,11NPSWRD_WQX-PRSF_WQ_DF1_20150218_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.3,,,,,,,14.8,,,6.96
249,11NPSWRD_WQX-PRSF_WQ_DF1_20150218_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.46,
250,11NPSWRD_WQX-PRSF_WQ_DF1_20150317_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
251,11NPSWRD_WQX-PRSF_WQ_DF1_20150317_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.4,,,,,,,14.3,,,8.07
252,11NPSWRD_WQX-PRSF_WQ_DF1_20150317_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.32,
253,11NPSWRD_WQX-PRSF_WQ_DF1_20150414_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,
254,11NPSWRD_WQX-PRSF_WQ_DF1_20150414_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.4,,,,,,,12.4,,,7.96
255,11NPSWRD_WQX-PRSF_WQ_DF1_20150414_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.95,
256,11NPSWRD_WQX-PRSF_WQ_DF1_20150414_L^01,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,
257,11NPSWRD_WQX-PRSF_WQ_DF1_20150519_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,
258,11NPSWRD_WQX-PRSF_WQ_DF1_20150519_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.5,,,,,,,14.7,,,8.23
259,11NPSWRD_WQX-PRSF_WQ_DF1_20150519_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13,
260,11NPSWRD_WQX-PRSF_WQ_DF1_20150616_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,
261,11NPSWRD_WQX-PRSF_WQ_DF1_20150616_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.0,,,,,,,15.0,,,8.05
262,11NPSWRD_WQX-PRSF_WQ_DF1_20150616_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87,
263,11NPSWRD_WQX-PRSF_WQ_DF1_20150715_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
264,11NPSWRD_WQX-PRSF_WQ_DF1_20150715_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.8,,,,,,,16.5,,,8.17
265,11NPSWRD_WQX-PRSF_WQ_DF1_20150715_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,
266,11NPSWRD_WQX-PRSF_WQ_DF1_20150715_L^01,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
267,11NPSWRD_WQX-PRSF_WQ_DF1_20150819_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,
268,11NPSWRD_WQX-PRSF_WQ_DF1_20150819_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.0,,,,,,,16.4,,,7.98
269,11NPSWRD_WQX-PRSF_WQ_DF1_20150819_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,
270,11NPSWRD_WQX-PRSF_WQ_DF1_20150915_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,,,
271,11NPSWRD_WQX-PRSF_WQ_DF1_20150915_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.0,,,,,,,15.2,,,7.68
272,11NPSWRD_WQX-PRSF_WQ_DF1_20150915_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9,
273,11NPSWRD_WQX-PRSF_WQ_DF1_20151222_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,
274,11NPSWRD_WQX-PRSF_WQ_DF1_20151222_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.0,,,,,,,13.3,,,7.5
275,11NPSWRD_WQX-PRSF_WQ_DF1_20151222_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89,
276,11NPSWRD_WQX-PRSF_WQ_DF1_20160106_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,
277,11NPSWRD_WQX-PRSF_WQ_DF1_20160106_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.3,,,,,,,10.9,,,7.59
278,11NPSWRD_WQX-PRSF_WQ_DF1_20160106_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,
279,11NPSWRD_WQX-PRSF_WQ_DF1_20160106_L^01,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,
280,11NPSWRD_WQX-PRSF_WQ_DF1_20160216_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
281,11NPSWRD_WQX-PRSF_WQ_DF1_20160216_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.1,,,,,,,13.1,,,7.81
282,11NPSWRD_WQX-PRSF_WQ_DF1_20160216_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,
283,11NPSWRD_WQX-PRSF_WQ_DF1_20160323_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,
284,11NPSWRD_WQX-PRSF_WQ_DF1_20160323_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.9,,,,,,,13.5,,,7.48
285,11NPSWRD_WQX-PRSF_WQ_DF1_20160323_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,
286,11NPSWRD_WQX-PRSF_WQ_DF1_20160418_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,
287,11NPSWRD_WQX-PRSF_WQ_DF1_20160418_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.2,,,,,,,15.2,,,7.77
288,11NPSWRD_WQX-PRSF_WQ_DF1_20160418_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,
289,11NPSWRD_WQX-PRSF_WQ_DF1_20160418_L^01,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,
290,11NPSWRD_WQX-PRSF_WQ_DF1_20160518_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,,,
291,11NPSWRD_WQX-PRSF_WQ_DF1_20160518_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.8,,,,,,,15.4,,,6.36
292,11NPSWRD_WQX-PRSF_WQ_DF1_20160518_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,
293,11NPSWRD_WQX-PRSF_WQ_DF1_20160620_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,,,
294,11NPSWRD_WQX-PRSF_WQ_DF1_20160620_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.3,,,,,,,15.7,,,7.91
295,11NPSWRD_WQX-PRSF_WQ_DF1_20160620_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,
296,11NPSWRD_WQX-PRSF_WQ_DF1_20160712_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,
297,11NPSWRD_WQX-PRSF_WQ_DF1_20160712_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.7,,,,,,,14.8,,,7.32
298,11NPSWRD_WQX-PRSF_WQ_DF1_20160712_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02,
299,11NPSWRD_WQX-PRSF_WQ_DF1_20160712_L^01,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,
300,11NPSWRD_WQX-PRSF_WQ_DF1_20160824_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
301,11NPSWRD_WQX-PRSF_WQ_DF1_20160824_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.9,,,,,,,15.3,,,7.28
302,11NPSWRD_WQX-PRSF_WQ_DF1_20160824_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,
303,11NPSWRD_WQX-PRSF_WQ_DF1_20160921_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
304,11NPSWRD_WQX-PRSF_WQ_DF1_20160921_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.0,,,,,,,15.3,,,7.37
305,11NPSWRD_WQX-PRSF_WQ_DF1_20160921_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,
306,11NPSWRD_WQX-PRSF_WQ_DF1_20161024_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,
307,11NPSWRD_WQX-PRSF_WQ_DF1_20161024_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.8,,,,,,,15.6,,,7.47
308,11NPSWRD_WQX-PRSF_WQ_DF1_20161024_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,
309,11NPSWRD_WQX-PRSF_WQ_DF1_20161024_L^01,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,
310,11NPSWRD_WQX-PRSF_WQ_DF1_20161117_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,
