,ActivityIdentifier,"Acidity, (H+)",Ammonia and ammonium,Arsenic,Barium,Barometric pressure,Bed sediment particle size,Bedload sediment flux,Bedload sediment particle size,Boron,Calcium,Carbon dioxide,Chloride,Depth,Fluoride,"Hardness, Ca, Mg","Height, gage",Magnesium,Nitrate,Nitrite,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Number of sampling points,Organic carbon,Orthophosphate,Oxygen,Phosphorus,Potassium,Refractive Index (RI),Silica,Sodium,Specific conductance,"Stream flow, instantaneous",Stream width measure,Sulfate,Suspended Sediment Concentration (SSC),Suspended Sediment Discharge,"Temperature, air","Temperature, water",Total volatile solids,Turbidity,pH
104,11NPSWRD_WQX-PRSF_WQ_DF1_20120322_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,
105,11NPSWRD_WQX-PRSF_WQ_DF1_20120322_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.0,,,,,,,11.92,,,8.06
106,11NPSWRD_WQX-PRSF_WQ_DF1_20120322_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,
107,11NPSWRD_WQX-PRSF_WQ_DF1_20120322_L^01,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,
108,11NPSWRD_WQX-PRSF_WQ_DF1_20120426_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,,,
109,11NPSWRD_WQX-PRSF_WQ_DF1_20120426_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.0,,,,,,,14.53,,,8.03
110,11NPSWRD_WQX-PRSF_WQ_DF1_20120426_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,
111,11NPSWRD_WQX-PRSF_WQ_DF1_20120426_L^01,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,
112,11NPSWRD_WQX-PRSF_WQ_DF1_20120529_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,
113,11NPSWRD_WQX-PRSF_WQ_DF1_20120529_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.0,,,,,,,17.32,,,8.03
114,11NPSWRD_WQX-PRSF_WQ_DF1_20120529_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,
115,11NPSWRD_WQX-PRSF_WQ_DF1_20120529_L^01,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,
116,11NPSWRD_WQX-PRSF_WQ_DF1_20120625_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,
117,11NPSWRD_WQX-PRSF_WQ_DF1_20120625_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.0,,,,,,,15.3,,,7.81
118,11NPSWRD_WQX-PRSF_WQ_DF1_20120625_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,
119,11NPSWRD_WQX-PRSF_WQ_DF1_20120625_L^01,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,
120,11NPSWRD_WQX-PRSF_WQ_DF1_20120718_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,,,,
121,11NPSWRD_WQX-PRSF_WQ_DF1_20120718_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.0,,,,,,,15.17,,,7.62
122,11NPSWRD_WQX-PRSF_WQ_DF1_20120718_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,
123,11NPSWRD_WQX-PRSF_WQ_DF1_20120718_L^01,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,
124,11NPSWRD_WQX-PRSF_WQ_DF1_20120821_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
